Actor, Number of Movies
Ashley Artus, 1
Vladimir Marek, 1
Ray Bolger, 6
Barry Ward, 1
Tom Coop, 2
Joe Pingue, 5
Mitch Ryan, 17
Phyllis Kay, 1
John Litel, 8
John Enos III, 4
Anita Zagaria, 2
Lily Knight, 6
Gabriel Heatter, 1
Barret Helms, 1
Graciela Mas, 1
Angie Harmon, 9
Qi Mu, 1
Kit West, 3
Bruno Messerli, 1
Zack Zeigler, 2
Mathew Thomas, 1
John DeSantis, 4
Mark C. Vincent, 2
Holger Löwenadler, 1
Mingwei Ma, 1
Donna Hanover, 5
Beecher Martin, 1
Carole André, 3
Danny Bage, 1
Javier Álvarez, 2
Stephanie Berry, 7
Sigrid Wurschmidt, 1
Bené de Oliveira, 1
Byron Thames, 2
Nassim Izem, 1
Henry H. Daniels Jr., 1
Pat Laffan, 4
Marceline Hugot, 6
John McLiam, 7
John Pickard, 1
Yvette Diaz, 3
Faith McDevitt, 1
Duke Addabayo, 1
Léna Skerla, 1
Harry Shannon, 8
Michael Nightingale, 1
Tucker Smith, 1
Haya Harareet, 3
Bill Christ, 1
Laurence Côte, 1
Brad Williams, 1
Kerr Smith, 7
Kiyoyuki Yanada, 1
Tina Yothers, 1
Michael Trucco, 1
Walter Coy, 1
Anthony Arcidi, 1
Rammellzee, 3
Tim Kazurinsky, 8
Andrea Francis, 1
Mario Oliver, 1
Naseer El-Kadi, 1
Daisuke Gôri, 8
Keylee Jade Flanders, 1
Richard Beymer, 8
Elisha Cook Jr., 14
Lori Mathes, 1
Deryle J. Lujan, 1
A. Lee Morris, 1
Chester Conklin, 5
Wlodzimierz Nowak, 1
Shota Qristesashvili, 1
Sean Glenn, 1
Alexandra Johnes, 2
Glenn Gerner, 1
Hallee Hirsh, 4
Sheila Shaw, 1
Michel-René Labelle, 1
Armando del Río, 1
Richard D. Fisher Jr., 2
Kate Levering, 1
Michael M. Horton, 2
Pierre Soubestre, 1
May Craig, 2
Rusty De Wees, 4
Kurt Yaghjian, 2
Dean McDermott, 4
Jim Dunk, 2
Kong Lung, 1
Robert Keegan, 2
Teri Horton, 1
Jaffe Cohen, 2
William Keller, 3
Kitana Baker, 2
Evan Richards, 4
Lisa Ann Walter, 10
Geoffrey Arend, 5
Hiroshi Okazaki, 1
Rocky Patterson, 1
Reid Asato, 1
Barbara Rush, 6
Frank Minor, 1
Jonathan Hackett, 1
Michael Rubenstein, 1
DJ Scratch, 1
Matt Adler, 9
Brenden Jefferson, 3
Chris Kattan, 10
Odessa Rae, 1
Richard 'Pistol' Allen, 1
Monika Strzelczyk, 1
Sir Lancelot, 1
Kunaal Roy Kapur, 1
Lisa Bonet, 9
Neil Crone, 9
Joshua Shalikar, 2
Paul Donlon, 1
Abbie Cornish, 3
Juan Ángel, 1
Antonio Lagares, 1
Don Reynolds, 1
June C. Ellis, 3
Shari Belafonte, 2
Del Russel, 1
Fábio Lago, 2
Ada Maria Serra Zanetti, 1
Adrian Hoven, 3
Patrick O'Kane, 2
Corinne Skinner-Carter, 1
Michele Schmiegelm, 1
John Gatins, 2
Michael Piccirilli, 1
Lars Ekborg, 1
Liz Fraser, 5
David Yost, 2
Daniel Lugo, 1
Stephen Chase, 1
Paul Ricketts, 1
Anna Friðriksdóttir, 1
Barbara Britt, 1
Mick Lally, 4
Tim Daly, 10
Andrew Fraser, 1
Thom Sokoloski, 1
Steve Carlson, 1
Frank Geraci, 2
Linda Wallem, 2
Kevin Catucci, 1
Scott Waara, 1
Miraj Grbic, 7
Giuseppe Cederna, 2
Jeff Crabtree, 1
Janet Foye, 1
Cynthia Mace, 2
Terry Jenkins, 1
Tobe Hooper, 1
Vitalie Ursu, 1
James Yaegashi, 1
Roger Livesey, 3
Eric Ambel, 1
Chang Yun, 1
Marquis Nunley, 1
Tiago Correa, 1
Marlene Lawston, 3
María Luisa Robledo, 1
Dom DeLuise, 42
Cyrus Thiedeke, 2
Joyce Walker, 2
Robert Windsor, 1
Tateo Kawasaki, 1
Amy Brooks, 2
Michèle Moretti, 6
Randy Travis, 2
Mun-hee Na, 2
Armando Migliari, 1
Pierre-Quentin Faesch, 1
Marek Weglarski, 1
Victor Contreras, 1
Janie du Plessis, 1
Charlotte Akin, 3
Agneta Eckemyr, 1
Chase Randolph, 2
Lyriq Bent, 5
Jeff Ramsey, 2
Pedro Mojica, 3
Dick Beebe, 3
Michael Rudder, 2
Don Lynch, 1
Andre Keuck, 1
Tzi Ma, 19
Gudmundur Thorvaldsson, 1
Julie Marcus, 2
Sandra Oh, 12
Philippe Calvario, 2
Ryan Stenzel, 2
Billy Bryan, 4
Amelia Jackson-Gray, 1
Wallace Merck, 4
Neil Finnighan, 1
Liliana Bogatko, 2
Captain Raju, 1
Ludmilla Tchérina, 1
Felix Eitner, 2
Dean Wray, 2
Miyoko Akaza, 1
Sergeant Weaver, 1
R. David Smith, 1
Phyllis Franklin, 1
Bruce McCulloch, 5
Nigel Miguel, 3
Karin Thaler, 1
Nassim Hassaïni, 1
Frankie Vaughan, 1
Christine Brubaker, 1
Rosa Morales, 1
Dwight Schultz, 4
Dian Bachar, 4
Felix Knight, 1
Luciana Carvalho, 1
Thomas Hill, 8
Terry Bozeman, 2
Marie George, 1
Matt Winston, 15
Pepi Hermine, 1
Massimo Schina, 1
Dina Chandel, 1
Marla Maples, 5
Christopher Carroll, 1
Wesley Mann, 2
Kirsten Andreasen, 1
Michael '2-Smoove' Demitro, 1
Sophie Michaud, 1
Joe DeRita, 1
Alba August, 1
James Devney, 1
François Darbon, 1
Thomas E. Weyer, 1
Mara Hobel, 3
Jude Akuwudike, 2
Page Kennedy, 4
Kate Lynn Evans, 2
Christine Jones, 2
Gordon Michaels, 1
Marilyn Joi, 2
Raz B, 1
Dev Patel, 1
Kelly Lynn Gitter, 1
B.J. Barie, 7
Kevin Farr, 1
Isabel de Castro Oros, 1
Jeremy Slate, 5
Philippe Fretun, 1
Paul Harper, 2
Anne Archer, 18
Susan Lynch, 6
Sam Smart, 1
Kathy Bennett, 1
Heidi Glover, 1
Rob Morrow, 6
Emma Kennedy, 2
Ken Kerr, 1
Renee Robertson, 1
Matt Day, 3
Tor Borong, 1
Vincent Baum, 2
Nathalie Richard, 5
Michisuke Kashiwaya, 1
Alan Berman, 1
San Chin, 1
Mikey Kelley, 1
Nick Brimble, 5
Tawanna Benbow, 2
Christopher Knights, 9
Margiet van Hartingsveld, 2
Don Amendolia, 1
PaSean Wilson, 1
Geri Gibson, 2
Daniela Doria, 2
John Tynan, 1
Hugh Jorgin, 1
Cathryn Bradshaw, 1
Dina Connolly, 1
Rebecca Gayheart, 6
Stéphane Rideau, 3
Umberto Orsini, 1
Dong-won Seo, 1
Laura Margolis, 1
Verna Bloom, 11
Zack Ward, 7
Adrien Duquesne, 1
Jimmy Raskin, 1
Tatanka Means, 1
Eva Mattes, 8
'Cousin Brucie' Morrow, 2
Aleksei Panzheyev, 1
Albert Iluz, 1
Lillian Adams, 2
Claire Pierrat, 1
Michael McKean, 44
Dennis Rodman, 3
Daniel Cerny, 1
Changwen Jan, 1
Matt Baker, 1
Kirby Mitchell, 4
Hiep Thi Le, 3
Niki Flacks, 1
Paul Morgan Stetler, 2
Judith Vittet, 1
Carol Bruce, 4
Ace Yonamine, 1
Timothy Raby, 1
Mirtha Caputi Medeiros, 1
Mitchell Haapu, 1
Edwin Max, 1
Missy Cleveland, 6
Eugene Pallette, 7
Kari Sylwan, 1
Ok-bin Kim, 1
Wing Chen, 1
Drazen Sivak, 1
Jeffrey Bergen, 1
Brandon Hardesty, 1
Frantisek Husák, 1
Lisa Cork-Twiss, 1
Doña Croll, 3
Billy Glyde, 1
William Byrd Wilkins, 1
Lorene Noh, 2
Lynette Curran, 3
Omid Abtahi, 1
Tom Woodruff Jr., 1
Kitty Courbois, 3
Txema Blasco, 1
Allana Bale, 1
Billy Wilder, 1
Eleni Gerasimidou, 1
Noboru Kaneko, 1
Rocky Zantolas, 1
Jared Van Snellenberg, 3
Andrew Robinson, 10
Gary Graham, 5
Charlie Lucas, 1
Surya Patel, 1
Austin O'Riley, 1
Xzibit, 6
Michael Schottenberg, 2
Brenda Strong, 5
Amanda Holden, 2
Frank Bourke, 1
Grand L. Bush, 10
Andrew McCarthy, 19
Cyril Smith, 1
Levon Helm, 9
Peter Onorati, 4
Brent Glenen, 2
Marisa Pavan, 1
Alexis Thorpe, 2
RZA, 4
Dru Down, 1
Grzegorz Stelmaszewski, 1
John Larch, 4
Eva Renzi, 1
Rochelle Davis, 2
David Masajnik, 1
Tiffany Kinney, 2
Chris Greene, 1
Joseph Mawle, 2
Deok-hyeon Jo, 3
John Barrard, 2
Grant Hoover, 1
Ken Ruta, 1
Lance Robinson, 1
Jean Miller, 1
Harvey Keitel, 68
Corinna Harney, 2
Priscilla Alden, 1
Akiji Kobayashi, 3
Jack Norton, 3
Nick Gaetani, 2
Catharine Bolz, 1
Dickie Moore, 1
Keira Knightley, 25
Eileen Rosen, 2
Adelaide Aste, 2
Erin Richards, 1
Roger Fritz, 4
Marc Gowan, 2
Deborah De Voto, 1
Sachio Sakai, 3
Claude Degliame, 1
Gregory Itzin, 9
Anita Pallenberg, 1
Becky Gonzalez, 2
Jackie Oliver, 1
Julie Janney, 1
Bruce Torbet, 1
Nick Carone, 1
Ian Roberts, 10
Kendal Cramer, 1
Jirí Ded, 1
Robert Courtin, 1
David Bingham, 2
Lorna Scott, 8
Ermelinda De Felice, 1
Jared Burke, 1
Charles 'Chic' Sale, 1
Goldie, 2
Catherine Burdon, 1
Bridget Bennett, 2
Bruce Neckels, 1
Michel Charrel, 4
Frank Kelly, 2
Pawel Wdowczak, 2
Julann Griffin, 2
Lina Svantesson, 1
Aleksandr Baluev, 1
Susanna Wellenbrink, 1
Tsutomu Kitagawa, 1
Ony Uhiara, 1
Chieko Higashiyama, 2
Lorna Thayer, 2
Michel Maillot, 2
Michael Saccente, 1
Diana C. Weng, 1
Robert Ryan, 9
Larry Case, 2
Jill Ung, 1
Matt Graham, 1
Cohen Holloway, 1
Fernand Charpin, 1
Jacek Domanski, 1
Hal Fowler, 1
Don Samuels, 2
Gerardo Zepeda, 6
James Wing Woo, 3
Carol Arthur, 6
Valentin Burov, 1
Barbara Philipp, 1
Jeremy Inman, 2
Andrew Miller, 6
LaGena Hart, 1
Azusa, 1
Ben Lessy, 1
Anthony Arkin, 3
Jeff Richards, 1
Vicente Gómez, 1
Stefan Bednarczyk, 2
Harry Anichkin, 1
Biao Fu, 2
Antonio Tarver, 1
James Duval, 10
Colette Wilde, 2
J.D. Williams, 1
Juan José Otegui, 4
Michelle Krusiec, 1
Ugo Bencini, 1
Shannon Conley, 1
Nicholas Kromka, 3
Barbara Bush, 1
Stephen Michael Rinaldi, 2
Michèle Garay, 1
Belinda Jarrett, 2
Paul Gillan, 1
Jean Short, 1
Jeremy Spry, 2
Macha Méril, 5
Matty Ferrigno, 1
Cameron Thor, 4
M. Hisaka, 1
Shaun Johnston, 1
Mark Sorensen Jr., 2
David Rappaport, 3
Elisabetta Rocchetti, 1
Bonnie Hunt, 34
Bob Lumbra, 1
Matthew A. Brown, 1
Tarra Steele, 1
Lucas Gregorowicz, 1
Nicholas Hitchon, 2
Leo Burmester, 9
Amedeo Amodio, 2
Lama Godhi, 1
Angela Goethals, 8
Harald Maresch, 1
Ketty Lester, 6
Arthur Esquer, 1
Peter Dineley, 1
Victoria Duffy, 1
Tyann Means, 1
Julian Bucio, 1
Ivor Emmanuel, 1
Brian Cohen, 1
Mark Gatiss, 7
Gerry Walsh, 1
Joseph Brady, 1
Richard Dreyfuss, 46
Raquel González, 1
Kathryn Faughnan, 1
Conchata Ferrell, 17
Lisa Houle, 1
Stephen Mangan, 1
Detlev Buck, 2
Bernard Mazzinghi, 2
Enrique Alemán Fabrega, 2
Walter Janssen, 1
Irene Pauzer, 1
David MacKay, 1
Ciccio Ingrassia, 2
Sadao Abe, 1
Karl-Heinz Staudenmeyer, 1
Solomon Burke Jr., 2
Rei Yang, 1
Queen Bee Luscious, 1
Ronan McCairbre, 1
Marjon Brandsma, 1
Philippa Bevans, 1
Rowland Davies, 2
Rachid Mansouri, 1
Ellen Thomas, 1
Caroline Gillette, 1
Ashley Scott, 2
Jeremy Jordan, 1
Hiromi Tsuru, 11
Maria McDonald, 1
Oleg Khmelnitsky, 2
David Palffy, 2
Nicholas Sadler, 8
Donny Osmond, 4
Jimmy Herman, 3
Stephen R. Hart, 1
Anita Mui, 2
Chris Kersen, 1
Walter Steele, 1
William 'Wee Willie' Davis, 1
Manuel Tejada, 1
David Kasday, 1
Curt Lowens, 5
Horatio Sanz, 9
Petra Martínez, 1
Jerry Schaefer, 2
Nestor Carbonell, 4
Lesley-Ann Brandt, 1
Tutte Lemkow, 4
Kristo Salminen, 1
Khan Bonfils, 1
Amanda Schull, 2
Vampira, 1
Andrea Savage, 1
François Gragnon, 1
Houko Kuwashima, 1
Kevin McAfee, 1
Anne Mercier, 1
O.Z. Whitehead, 3
Stojan Sotirov, 1
King Twala, 1
Louise Fox, 1
Todd Anderson, 1
Jacqueline Randall, 1
Patrice Moncell, 1
Benjamin Whitrow, 9
Julia Rayner, 2
Stephanie Buttle, 2
Anthony J. Nici, 2
Blue Deckert, 10
Lita Lluch-Peiro, 1
Ann Rye, 3
Gary Jones, 1
Jean Loup, 1
Karl Collins, 1
Gino Conforti, 2
Pat Crawford Brown, 4
Denise Darcel, 1
Hayden Tank, 2
Victoria Jackson, 9
David B. Hoff, 1
Shelton Baily, 1
Aladdin Ullah, 1
Robert Coote, 7
Mimi Cozzens, 1
Paul Hurst, 2
Sonia Torgeson, 1
Terri J. Vaughn, 1
Alex Brown, 1
David Boreanaz, 2
Donald Pleasence, 37
Ted Maynard, 1
Jack Dodson, 10
Anne-Marie Martin, 1
Craig Eldridge, 2
Kim Robillard, 7
Cornelio Hernandez, 1
Ken Wright, 1
Catherine Lambert, 2
Christopher Leman, 1
Sage Ryan, 1
El Duce, 1
Yoshiko Noda, 1
Kristy Yang, 1
Pattie J. Barbosa, 1
Robert Picardo, 17
Andrew Cassani, 1
Jaimz Woolvett, 4
Daniel Davis, 2
Stanley Grover, 2
Robin Menken, 1
Renée Amber, 2
Mitsuru Ogata, 1
Stacy Ferguson, 5
Zabit Memedov, 2
Matthew G. Taylor, 4
Todd Schroeder, 1
Dora Doll, 3
Sung Jin, 1
James Whyle, 1
William Ostrander, 3
Christina Kirk, 3
Michelle Phillips, 2
Jimmy Howell, 1
Ryan Milkovich, 1
Genevieve Butler, 1
Alyssa Gainer, 1
Jordan Pettle, 1
Jane Bradbury, 1
Rebecca Sage Allen, 1
Sarah Lilly, 1
Rupert Penry-Jones, 3
Serge Houde, 3
Donnie Yen, 5
Paul Vincent O'Connor, 2
Anthony Walters, 2
Bernard Le Coq, 4
Efren Ramirez, 7
Jeremy Knaster, 2
Stephanie Courtney, 5
Harry Selick, 1
Richard Anders, 1
Cathleen Nesbitt, 4
Arthur Godfrey, 2
Erin-Marie Dykeman, 1
Duilio Del Prete, 3
Maria Pia Luzi, 1
Nino Falanga, 1
Carol Lazare, 3
Deborah Duke, 1
Douglas Evans, 2
Adam Horovitz, 4
Andrew Robb, 2
Don Brockett, 9
Wayne Reynolds, 2
Ingeborg Lapsien, 1
Anton Walbrook, 3
Josh Zuckerman, 2
Stephen Manley, 2
Dominique Louis, 1
Elsa Cárdenas, 1
Mike Epstein, 2
Karen Valentine, 2
Tony T. Johnson, 2
Jeff Fahey, 10
Russell Simpson, 4
Alexander Armstrong, 2
Gláucio Gomes, 1
Robin Raymond, 2
Michael Carr, 10
Shelley Mathes, 1
Mark Schiff, 2
Mark Long, 2
Gunn Wållgren, 2
Janet Claire, 1
Edith Ivey, 2
Karina Arroyave, 5
Richard Liberty, 6
Sharon Angela, 1
Dakota Edwards, 1
Noel Coward, 2
Travis Ford, 1
Anna Longhi, 6
Mark Vafiades, 1
Lina Bernardi, 3
Kristina Starman, 1
Yôko Ohshima, 1
Bill Pankey, 1
Chiara Mastalli, 1
Elsie de Brauw, 1
Margot Leicester, 1
Conrad Goode, 3
Francine Bergé, 2
Mariah I. Wilson, 1
Riccardo Cucciolla, 1
Mark Cooper, 1
Filippo Nigro, 2
Harold Pinter, 4
Dino Abbrescia, 1
Kathy Jensen, 2
Alistair Findlay, 2
Michael Bahr, 2
Dale Gibson, 2
Akira Ôizumi, 1
Steve Boles, 3
J. Anthony Brown, 3
Stuart F. Wilson, 2
Hugh Laing, 1
Artur Brauner, 1
Maria Micol Ellero, 1
Necla Fide, 1
Tony Jayawardena, 1
David Nichols, 2
Lisa Ryder, 2
Maia Campbell, 3
Josephine Hutchinson, 6
Justin De Rosa, 1
Tuck Milligan, 4
Genevieve Bissonnette, 1
Shadia Simmons, 3
Mitzi Gaynor, 2
Pedro Lovell, 1
J. Jay Saunders, 3
Temuri Qamkhadze, 1
Hedley Cullen, 2
Angie Bolling, 1
Peter Gowen, 2
Maureen Egan, 1
Samuel Dietert, 2
Dallin Boyce, 1
François Négret, 2
Al Palagonia, 4
Doodles Weaver, 2
Yoke-Moon Lee, 1
Mary McMillan, 2
Terry Lee, 2
Kayla Perlmutter, 1
Toshi Toda, 2
Rahel Dobson, 1
Phil Valentine, 1
K.T. Oslin, 1
Owen Bush, 1
Clifford Hugo, 1
Fanny Condado, 1
Chris Atkinson, 1
Lynette Smith, 1
Mechthild Reinders, 1
Kehli O'Byrne, 1
Budd Friedman, 2
Robert Arenas, 2
Valarie Ianniello, 1
Otis Kadani, 1
Orazio Orlando, 1
Earl Rhodes, 2
Richard Rasof, 1
James DuMont, 3
María Isbert, 1
Marie Elena O'Brien, 2
Pornpimol Chookanthong, 1
Catherine Lough Haggquist, 2
Patricia Barry, 4
Les Lannom, 2
George Seminara, 1
Simon Williamson, 2
Paul Bürks, 1
Nick Shrim, 1
Don Flournoy, 1
Natasa Ninkovic, 1
Ryôichi Yuki, 1
Tony Azito, 6
Bianca Kajlich, 2
Jarvais Hudson, 1
Derrick Shore, 1
Hiroyuki Tanaka, 2
Jean-Louis Millette, 2
Salvador Madrid, 1
Heather Quella, 1
Jayne Atkinson, 7
Craig DuPlessis, 1
J.J. Gallo, 1
Vasag Baghboudarian, 1
Brad Faxon, 2
Amy Kirk, 1
Mel White, 1
Kenneth Kirk, 1
André Mikhelson, 1
Gloria Paul, 1
Kareem, 1
Ángel Salazar, 5
Louise Gold, 4
Frank Nasso, 2
Ernest Anderson, 1
George O'Brien, 3
Sharon Stone, 33
Leon Michaux, 1
Tom Fitzpatrick, 1
Seth Sakai, 2
Elmo Davis, 1
Winston 'Bello' Bell, 1
Laurent Lucas, 3
Gal Altschuler, 1
Murielle Varhelyi, 1
Joe Carnahan, 1
Brandon Hammond, 9
Guido Lollobrigida, 1
Susan Carol Davis, 3
Ramón González Cuevas, 2
Gene Mitchell, 2
Christina Applegate, 11
Joel Tobeck, 3
Deana Carter, 1
Silvia Llanos, 1
Michael Blodgett, 3
Corinne Jaber, 2
Michael Zwiener, 3
Olivia Rosewood, 1
Lee Mulrooney, 1
Tony Theng, 1
Michèle Garcia, 1
Alain Noury, 1
Samira Damavandi, 1
Jo Connor, 2
Sam Laws, 1
Alma Delfina, 1
François Marthouret, 2
Tolga Cevik, 1
Glenda Jackson, 9
Haig Sutherland, 1
Brian Lewis, 1
Kan Mikami, 1
Scott Charles, 1
Jennifer Caputo, 1
Tracie Bennett, 2
Carl Michael Lindner, 2
Mitsunori Isaki, 3
Bobby Lee, 1
Tamar Kozlov, 1
Ashley C. Coombs, 2
David Tree, 3
Krzysztof Majchrzak, 1
Rainn Wilson, 7
Pamela Isaacs, 2
Violette Monnier, 1
Mews Small, 6
Luigi Petrucci, 1
Kathleen Conner, 1
Hye-won Park, 1
Lisa Richards, 1
Blumes Tracy, 1
Patricia Healy, 1
Owen Hughes, 1
Ken Keen, 2
Catharine Stimpson, 1
Fai-hung Chan, 2
Ludwig Donath, 4
Steven Martini, 1
Christopher Scotellaro, 1
Barry White, 1
Diana Darrin, 1
Edmon Ryan, 3
Walter Gontermann, 1
Ché J. Avery, 2
Jazzie Mahannah, 2
Andréa Ferréol, 5
Carmen Ferland, 1
Fernando Gil, 1
Ben Webster, 2
Eric Cantona, 3
Erin McAfee, 1
Donna Vivino, 1
Peter Khubeke, 1
Mathilda Thorpe, 1
Amy Douglass, 1
Paul Williamson, 2
Frédéric Pfohl, 1
Bruce Lyons, 1
Ian Scott, 2
Peter Linz, 3
Marie-Françoise Theodore, 2
Mark Venturini, 5
Glen Adams, 1
Settimio Di Porto, 1
Jørgen Langhelle, 5
Tom Felleghy, 1
Paula Hamilton, 1
Chase Tatum, 1
Teddy Newton, 2
Stefan Gryff, 2
Lisa Marie Caruk, 4
Gregory Hinton, 1
Andy Rashleigh, 1
Lauren Cohn, 3
Jonathan Sagall, 2
Lionel Royce, 1
Noah Valencia, 1
J.C. Quinn, 21
Jason Fuchs, 2
Whip Hubley, 8
Marilyn Romero, 1
Richard Carle, 2
Sarah Koskoff, 2
Ben Moor, 4
Karen Austin, 2
Kyle Hyde, 1
Kim Murphy, 2
Rand Kingsley, 1
Robert Winley, 4
Jeff Wolfe, 2
Johnny Messner, 5
Jacklyn Zeman, 1
Serge Soric, 2
David Ngoombujarra, 2
Hetty Galen, 1
Fran Hunter, 1
William Cameron, 2
Roxie Roker, 2
Mike Reynolds, 2
Marc Maidenberg, 1
Hiroshi Tachikawa, 3
Miroslawa Lombardo, 1
Barbara Drew, 1
Jeff Richmond, 1
Amy Matysio, 1
Billy Griffith, 2
Don Billett, 1
Alex Courtney, 2
Monika Henreid, 2
Thierry Rode, 1
Pilar Souza, 1
Bill Lopatto, 1
Louie Louie, 3
Douglas Sandoval, 1
Bénédicte Loyen, 1
Laurel Whitsett, 1
William Lang, 1
Conni Marie Brazelton, 2
Phil Robinson, 1
Peter Sands, 1
Poppy Montgomery, 7
Mark Stewart, 1
Paul Welsh, 1
Lucy Boynton, 1
Jack Laufer, 3
Lani Mars, 1
Annemarie Lawless, 1
Bill Byrge, 5
Peter Callan, 2
Allan Louis, 2
China Shavers, 1
Amelia Frid, 1
Scott Alan Henry, 1
Larry Turner, 1
Ho Chiu Kei, 1
Richard Glazer, 1
Luckie Royer, 1
Mae West, 2
Cean Okada, 2
Phil Parolisi, 1
Simon Worgan, 1
Bonnie Biehl, 1
Kent Shocknek, 2
Ntare Guma Mbaho Mwine, 2
Terry Burnham, 1
María Duval, 2
Kevin Bacon, 51
Olivia Cole, 4
Jason Schaller, 3
Shin Nakamaru, 1
Rodney Dangerfield, 11
Kenneth Hall, 1
Louise Portal, 1
Sean Taylor, 1
Hao Zheng, 1
Phillip Terry, 2
Diane Rodriguez, 1
Peter Stader, 2
Marieta Ljarja, 1
Mario Ortiz, 1
Annabella Piugattuk, 1
Doris Schretzmayer, 1
Renée Le Calm, 1
Jason Jessee, 1
Lane Carroll, 3
Lili Francks, 3
Stephen Manuel, 1
Rushion McDonald, 2
Maria Vassiliou, 1
Al Berkowitz, 2
Fred Stoller, 2
Jamie McEnnan, 1
Larry Parrish, 1
Marty Levy, 1
Jacqueline Ramel, 1
Susan Tyrrell, 15
Mario Socrate, 1
David Arnott, 5
Stephanie Moore, 4
Joseph Rigano, 5
Mohamed Fekiri, 1
Mario Cabré, 1
Robin Byrd, 1
Chazz Palminteri, 25
Brian Wilde, 1
Barbara Eve Harris, 2
Josefine Nyberg, 1
Bodie Olmos, 3
Gaddiel Otero, 1
Louis Sutherland, 2
Tyrone Tonto, 1
Peter Grant, 1
Veronica Lauren, 3
Amber J. Lawson, 1
Dennis Vestunis, 1
E'Lon Cox, 1
Rick Bandes, 1
George Holmes, 1
Michel Aumont, 3
Cheryl Ferris, 1
Douglas Warhit, 2
Aileen Wuornos, 1
Lance Percival, 3
Kliment Denchev, 1
Morris Chestnut, 20
John S. Davies, 3
Sydney Deane, 1
John Salvatore, 1
Elizabeth Warner, 1
James Almanzar, 2
Douglas Nyback, 1
Llew Gardner, 1
Jack McDermott, 2
DJ Curse, 1
Zongluo Huang, 1
Brit Gülland, 1
Bob Warner, 1
Yûjirô Ishihara, 1
Doug Burks, 1
Emma Vävare, 1
Roxanne Kernohan, 1
Antoine Monot Jr., 1
Franco Solazzi, 1
Abigail Spencer, 1
Mayron Payes, 1
Da Brat, 3
Barbara E. Robertson, 1
Wai Ching Ho, 1
Jean Boursin, 1
Ron McLarty, 4
Kristy Swanson, 14
Yari Lorenzo, 1
Tony McHale, 1
Pauline Moore, 1
Sofia Lusy, 1
Paul Terry, 2
Alastair Galbraith, 2
Mary Smith, 2
Roger Ward, 1
Desmond Askew, 6
Enrico Fales, 1
Myrtle Anderson, 1
Joseph Lindsey, 1
Peter Simmons, 4
Liliana Komorowska, 5
Amancay Espíndola, 2
Louis-Do de Lencquesaing, 2
Bill Erickson, 1
Ashlee Levitch, 1
Stephen Elliott, 11
Jan Gan Boyd, 2
Myron Simon, 1
Dale Grand, 1
Lewis Black, 7
Julius Van Zyl, 1
Mary Badham, 1
Rene Liu, 1
Natalia Vodianova, 1
William Marshall, 5
Duncan Regehr, 2
Anderson Ballesteros, 1
Harumi Sone, 1
Danny Trejo, 34
Vann Gravage, 2
Nimrod Cohen, 1
Gianrico Tondinelli, 2
Rosmery 'Boquita' Almonte, 1
Joan Pringle, 3
Howard Ragsdale, 2
Louw Verwey, 2
George A. Craig, 1
Greg Haberny, 1
Yuri Elvin, 1
Craig Wayans, 2
Frédéric Baptiste, 1
Gary Hume, 1
Carrie Diamond, 2
Flip Wilson, 2
Yareli Arizmendi, 3
Everett Creach, 1
Jabedul Azad, 1
Bess Meyer, 1
Jeff Olson, 3
Martin Kove, 10
Creighton Hale, 2
Jack Kaeding, 1
Rada Djuricin, 2
Juan Manuel Bernal, 1
Lane 'Roc' Williams, 1
Robert A.M. Stern, 1
Nat Habib, 2
Ray Paisley, 1
James Opher, 2
Barbara Strom, 1
Sally Wingert, 2
Diane Lavallée, 1
Jennifer Biederman, 1
Tannis Burnett, 2
Jessica Brooks, 1
E.J. De La Pena, 2
John X. Heart, 2
J.C. Shakespeare, 2
Siri Howard, 1
Josh Holland, 1
Xavier Legrand, 2
Mac Robbins, 1
Jordan Christopher, 1
Ljubica Adzovic, 2
Arsenio Hall, 5
Joe Baker, 5
Anthony Wong Chau-Sang, 8
Yaniv Ben Yitzhak, 1
Melissa Alleman, 1
Philip Wright, 1
Kristen Cloke, 3
Saul Williams, 2
Iris Churn, 1
Dora Clement, 2
George Stover, 2
Klara Badiola, 1
Gunnel Broström, 1
Cameron Johann, 2
Sasha Gabor, 1
Barry Foster, 6
Marquita 'Sky' Marshall, 1
Margaret Devine, 4
Roy Estrada, 1
Andrew Flanagan, 1
Bruce Kirkpatrick, 1
Gemmenne de la Peña, 3
Nicholas Bird, 2
Galeazzo Riccardi, 1
Joe Camp, 1
Jaime Pressly, 13
Alain Tasma, 1
Dick Sargent, 4
Halina Labonarska, 1
Mary Taylor, 2
Tracy Hutson, 1
Dirk Roofthooft, 1
Mary Howard, 1
Jim Byrnes, 1
Klea Scott, 3
Rondi Reed, 2
Ross Malinger, 5
Siros Niaros, 1
Rich Valliere, 1
Diora Baird, 2
Isaac Hempstead Wright, 2
Horace Cohen, 1
Neil Grayston, 1
Travis Waite, 1
Robyn Moore, 1
Jimmy Gambina, 4
Phoebe Stone, 1
Kathleen Kinmont, 7
Brent Katz, 1
Erwin Meinicke, 1
Robert Roark, 1
James Goodwin, 1
Xuejian Li, 3
Andrew Garfield, 5
Keith Gordon, 6
John Marriott, 4
Mantan Moreland, 2
Margaret Bowman, 1
Kevin Sorbo, 3
James Stone, 2
Nathalie Villeneuve, 1
Mark Walters, 6
Susi Haneke, 1
David Brian Altieri, 1
